raceId,constructorId,constructor_name,constructor_nationality
1072,51,Alfa Romeo,Swiss
1072,214,Alpine F1 Team,French
1072,3,Williams,British
1072,210,Haas F1 Team,American
1073,131,Mercedes,German
1073,9,Red Bull,Austrian
1073,1,McLaren,British
1073,6,Ferrari,Italian
1073,213,AlphaTauri,Italian
1073,117,Aston Martin,British
1073,51,Alfa Romeo,Swiss
1073,214,Alpine F1 Team,French
1073,3,Williams,British
1073,210,Haas F1 Team,American
